subfield_id,field_id,name_en,slug,paper_count_total
religious_studies,arts_and_humanities,Religious studies,religious-studies,31729
geology,earth_and_planetary_sciences,Geology,geology,31482
applied_psychology,psychology,Applied Psychology,applied-psychology,30782
radiological_and_ultrasound_technology,health_professions,Radiological and Ultrasound Technology,radiological-and-ultrasound-technology,30160
earth_surface_processes,earth_and_planetary_sciences,Earth-Surface Processes,earth-surface-processes,29156
health_information_management,health_professions,Health Information Management,health-information-management,28462
anesthesiology_and_pain_medicine,medicine,Anesthesiology and Pain Medicine,anesthesiology-and-pain-medicine,28282
endocrine_and_autonomic_systems,neuroscience,Endocrine and Autonomic Systems,endocrine-and-autonomic-systems,28138
physical_and_theoretical_chemistry,chemistry,Physical and Theoretical Chemistry,physical-and-theoretical-chemistry,27324
music,arts_and_humanities,Music,music,27306
immunology_and_allergy,medicine,Immunology and Allergy,immunology-and-allergy,27019
endocrinology,biochemistry_genetics_and_molecular_biology,Endocrinology,endocrinology,26825
sensory_systems,neuroscience,Sensory Systems,sensory-systems,26794
ecological_modeling,environmental_science,Ecological Modeling,ecological-modeling,26556
virology,immunology_and_microbiology,Virology,virology,26227
clinical_biochemistry,biochemistry_genetics_and_molecular_biology,Clinical Biochemistry,clinical-biochemistry,25660
linguistics_and_language,social_sciences,Linguistics and Language,linguistics-and-language,24682
biochemistry,biochemistry_genetics_and_molecular_biology,Biochemistry,biochemistry,24361
occupational_therapy,health_professions,Occupational Therapy,occupational-therapy,23851
fluid_flow_and_transfer_processes,chemical_engineering,Fluid Flow and Transfer Processes,fluid-flow-and-transfer-processes,23027
geochemistry_and_petrology,earth_and_planetary_sciences,Geochemistry and Petrology,geochemistry-and-petrology,21700
internal_medicine,medicine,Internal Medicine,internal-medicine,21665
development,social_sciences,Development,development,21359
public_administration,social_sciences,Public Administration,public-administration,21316
algebra_and_number_theory,mathematics,Algebra and Number Theory,algebra-and-number-theory,19924
museology,arts_and_humanities,Museology,museology,19840
health_informatics,medicine,Health Informatics,health-informatics,19307
pharmacy,health_professions,Pharmacy,pharmacy,19269
hardware_and_architecture,computer_science,Hardware and Architecture,hardware-and-architecture,17839
applied_microbiology_and_biotechnology,immunology_and_microbiology,Applied Microbiology and Biotechnology,applied-microbiology-and-biotechnology,17355
classics,arts_and_humanities,Classics,classics,16738
conservation,arts_and_humanities,Conservation,conservation,16703
numerical_analysis,mathematics,Numerical Analysis,numerical-analysis,16660
ceramics_and_composites,materials_science,Ceramics and Composites,ceramics-and-composites,16586
toxicology,pharmacology_toxicology_and_pharmaceutics,Toxicology,toxicology,15255
physiology,biochemistry_genetics_and_molecular_biology,Physiology,physiology,15221
energy_engineering_and_power_technology,energy,Energy Engineering and Power Technology,energy-engineering-and-power-technology,15125
computer_graphics_and_computer_aided_design,computer_science,Computer Graphics and Computer-Aided Design,computer-graphics-and-computer-aided-design,15051
business_and_international_management,business_management_and_accounting,Business and International Management,business-and-international-management,14649
transplantation,medicine,Transplantation,transplantation,14628
developmental_neuroscience,neuroscience,Developmental Neuroscience,developmental-neuroscience,13700
forestry,agricultural_and_biological_sciences,Forestry,forestry,13383
general_materials_science,materials_science,General Materials Science,general-materials-science,13154
biological_psychiatry,neuroscience,Biological Psychiatry,biological-psychiatry,12935
electrochemistry,chemistry,Electrochemistry,electrochemistry,12292
process_chemistry_and_technology,chemical_engineering,Process Chemistry and Technology,process-chemistry-and-technology,12101
general_social_sciences,social_sciences,General Social Sciences,general-social-sciences,11484
discrete_mathematics_and_combinatorics,mathematics,Discrete Mathematics and Combinatorics,discrete-mathematics-and-combinatorics,10947
family_practice,medicine,Family Practice,family-practice,10903
bioengineering,chemical_engineering,Bioengineering,bioengineering,10660
behavioral_neuroscience,neuroscience,Behavioral Neuroscience,behavioral-neuroscience,10621
aging,biochemistry_genetics_and_molecular_biology,Aging,aging,10104
library_and_information_sciences,social_sciences,Library and Information Sciences,library-and-information-sciences,10061
complementary_and_manual_therapy,health_professions,Complementary and Manual Therapy,complementary-and-manual-therapy,9809
general_dentistry,dentistry,General Dentistry,general-dentistry,9589
instrumentation,physics_and_astronomy,Instrumentation,instrumentation,9379
